@RELATION gym_progress

@ATTRIBUTE Date string
@ATTRIBUTE Workout_Duration NUMERIC
@ATTRIBUTE Caloric_Intake NUMERIC
@ATTRIBUTE Protein_Intake NUMERIC
@ATTRIBUTE Weight NUMERIC

@DATA
'2025-01-01',60,2500,150,75.0
'2025-01-02',45,2600,160,75.1
'2025-01-03',0,2400,140,75.1
'2025-01-04',75,2700,170,75.2
'2025-01-05',60,2550,155,75.2
'2025-01-06',50,2600,160,75.3
'2025-01-07',0,2300,130,75.3
'2025-01-08',65,2650,165,75.4
'2025-01-09',45,2500,150,75.5
'2025-01-10',80,2800,180,75.6
'2025-01-11',0,2400,140,75.5
'2025-01-12',60,2600,160,75.7
'2025-01-13',70,2700,170,75.8
'2025-01-14',50,2550,155,75.8
'2025-01-15',65,2650,165,75.9
